Type,ID,Cat,Part #,EFL,Diameter,R1,Glass,CT,R2,,,
LEN,TL,GE,LA9977-F,75.07,25.40,225.51,GERM,4.00,0.00,,,
LEN,TL,CAF,LB5247,75.00,25.40,64.39,CAF2,4.53,-64.39,,,
LEN,TL,CAF,LB5284,50.00,25.40,42.48,CAF2,5.89,-42.48,,,
LEN,TL,CAF,LB5454,200.00,25.40,173.09,CAF2,2.93,-173.09,,,
LEN,TL,CAF,LB5552,100.00,25.40,86.18,CAF2,3.88,-86.18,,,
LEN,TL,CAF,LB5766,15.00,12.70,12.11,CAF2,5.60,-12.11,,,
LEN,TL,CAF,LB5774,25.40,25.40,20.23,CAF2,10.96,-20.23,,,
LEN,TL,CAF,LB5864,40.00,12.70,34.22,CAF2,3.19,-34.22,,,
LEN,TL,CAF,LB5922,20.00,12.70,16.64,CAF2,4.52,-16.64,,,
LEN,TL,ZNSE,LB7002-F,40.00,12.70,111.52,ZNSE,2.36,-111.52,,,
LEN,TL,ZNSE,LB7436-F,15.00,12.70,41.19,ZNSE,2.98,-41.19,,,
LEN,TL,ZNSE,LB7638-F,100.00,25.40,279.78,ZNSE,2.58,-279.78,,,
LEN,TL,ZNSE,LB7639-F,20.00,12.70,55.30,ZNSE,2.73,-55.30,,,
LEN,TL,ZNSE,LB7834-F,75.00,25.40,209.59,ZNSE,2.77,-209.59,,,
LEN,TL,ZNSE,LB7887-F,200.00,25.40,560.40,ZNSE,2.29,-560.40,,,
LEN,TL,ZNSE,LB7896-F,50.00,25.40,139.34,ZNSE,3.16,-139.34,,,
LEN,TL,ZNSE,LB7936-F,25.40,25.40,69.97,ZNSE,4.32,-69.97,,,
LEN,TL,CAF,LC5269,-39.99,25.40,-17.35,CAF2,2.00,0.00,,,
LEN,TL,CAF,LC5289,-99.99,25.40,-43.38,CAF2,3.00,0.00,,,
LEN,TL,CAF,LC5401,-75.00,25.40,-32.54,CAF2,2.50,0.00,,,
LEN,TL,CAF,LC5749,-24.99,12.70,-10.84,CAF2,2.50,0.00,,,
LEN,TL,CAF,LC5893,-500.04,25.40,-216.94,CAF2,4.00,0.00,,,
LEN,TL,CAF,LC5919,-17.98,12.70,-7.80,CAF2,2.00,0.00,,,
LEN,TL,CAF,LC5952,-200.00,25.40,-86.77,CAF2,3.50,0.00,,,
LEN,TL,ZNSE,LC7142-F,-200.00,25.40,-280.53,ZNSE,2.00,0.00,,,
LEN,TL,ZNSE,LC7235-F,-50.00,25.40,-70.13,ZNSE,2.00,0.00,,,
LEN,TL,ZNSE,LC7414-F,-100.00,25.40,-140.27,ZNSE,2.00,0.00,,,
LEN,TL,ZNSE,LC7421-F,-75.00,25.40,-105.20,ZNSE,2.00,0.00,,,
LEN,TL,ZNSE,LC7759-F,-25.40,25.40,-35.63,ZNSE,2.00,0.00,,,
LEN,TL,CAF,LD5138,-30.00,25.40,-26.40,CAF2,2.50,26.40,,,
LEN,TL,CAF,LD5313,-50.00,25.40,-43.83,CAF2,3.00,43.83,,,
LEN,TL,CAF,LD5451,-15.00,12.70,-13.38,CAF2,2.50,13.38,,,
LEN,TL,CAF,LD5788,-24.99,12.70,-22.13,CAF2,3.00,22.13,,,
LEN,TL,ZNSE,LD7071-F,-100.00,25.40,-281.12,ZNSE,2.00,281.12,,,
LEN,TL,ZNSE,LD7503-F,-50.00,25.40,-140.85,ZNSE,2.00,140.85,,,
LEN,TL,ZNSE,LD7671-F,-25.40,25.40,-71.83,ZNSE,2.00,71.83,,,
LEN,TL,ZNSE,LD7877-F,-75.00,25.40,-210.98,ZNSE,2.00,210.98,,,
LEN,TL,ZNSE,LD7902-F,-200.00,25.40,-561.65,ZNSE,2.00,561.65,,,
LEN,TL,CAF,LE5183-E,40.00,25.40,15.00,CAF2,8.86,146.95,,,
LEN,TL,CAF,LE5234-E,80.00,12.70,20.00,CAF2,3.00,49.08,,,
LEN,TL,CAF,LE5243-E,50.00,12.70,15.00,CAF2,3.00,52.79,,,
LEN,TL,CAF,LE5382-E,150.00,25.40,35.00,CAF2,4.00,78.62,,,
LEN,TL,CAF,LE5414-E,200.00,25.40,40.00,CAF2,4.00,75.89,,,
LEN,TL,CAF,LE5656-E,750.00,25.40,150.00,CAF2,4.00,290.83,,,
LEN,TL,CAF,LE5714-E,1000.00,25.40,250.00,CAF2,4.00,638.52,,,
LEN,TL,CAF,LE5801-E,50.00,25.40,15.50,CAF2,7.13,55.20,,,
LEN,TL,CAF,LE5802-E,75.00,25.40,15.50,CAF2,5.57,28.02,,,
LEN,TL,CAF,LE5803-E,100.00,25.40,20.00,CAF2,4.00,36.81,,,
LEN,TL,CAF,LE5838-E,20.00,12.70,7.50,CAF2,4.73,72.44,,,
LEN,TL,CAF,LE5990-E,500.00,25.40,125.00,CAF2,4.00,317.77,,,
LEN,TL,ZNSE,LE7031-F,100.00,25.40,28.36,ZNSE,4.00,32.62,,,
LEN,TL,ZNSE,LE7117-F,750.00,25.40,219.57,ZNSE,4.00,274.54,,,
LEN,TL,ZNSE,LE7185-F,25.40,25.40,15.50,ZNSE,4.70,22.58,,,
LEN,TL,ZNSE,LE7199-F,1000.00,25.40,293.05,ZNSE,4.00,367.49,,,
LEN,TL,ZNSE,LE7246-F,15.00,12.70,7.50,ZNSE,2.90,9.03,,,
LEN,TL,ZNSE,LE7276-F,20.00,12.70,7.50,ZNSE,3.00,7.85,,,
LEN,TL,ZNSE,LE7495-F,500.00,25.40,146.10,ZNSE,4.00,181.59,,,
LEN,TL,ZNSE,LE7667-F,150.00,25.40,42.71,ZNSE,4.00,50.66,,,
LEN,TL,ZNSE,LE7898-F,200.00,25.40,57.69,ZNSE,4.00,69.69,,,
LEN,TL,ZNSE,LE7963-F,40.00,12.70,10.88,ZNSE,3.00,11.32,,,
LEN,TL,ZNSE,LE7981-F,50.00,25.40,15.50,ZNSE,4.00,16.90,,,
LEN,TL,ZNSE,LE7996-F,75.00,25.40,20.97,ZNSE,4.00,23.27,,,
LEN,TL,CAF,LF5048-E,-500.00,25.40,218.25,CAF2,4.00,105.10,,,
LEN,TL,CAF,LF5067-E,-20.00,12.70,95.57,CAF2,2.00,7.50,,,
LEN,TL,CAF,LF5154-E,-80.00,12.70,33.72,CAF2,3.00,16.19,,,
LEN,TL,CAF,LF5175-E,-150.00,25.40,64.15,CAF2,4.00,30.81,,,
LEN,TL,CAF,LF5394-E,-1000.00,25.40,438.09,CAF2,4.00,211.13,,,
LEN,TL,CAF,LF5414-E,-50.00,25.40,68.50,CAF2,4.00,15.50,,,
LEN,TL,CAF,LF5469-E,-40.00,25.40,308.29,CAF2,4.00,15.50,,,
LEN,TL,CAF,LF5515-E,-100.00,25.40,41.97,CAF2,4.00,20.16,,,
LEN,TL,CAF,LF5807-E,-750.00,25.40,328.18,CAF2,4.00,158.12,,,
LEN,TL,CAF,LF5847-E,-50.00,12.70,20.42,CAF2,3.00,9.79,,,
LEN,TL,CAF,LF5895-E,-75.00,25.40,30.79,CAF2,4.00,14.80,,,
LEN,TL,CAF,LF5961-E,-200.00,25.40,86.21,CAF2,4.00,41.44,,,
LEN,TL,ZNSE,LF7053-F,-75.00,25.40,20.97,ZNSE,4.00,15.53,,,
LEN,TL,ZNSE,LF7113-F,-150.00,25.40,42.71,ZNSE,4.00,33.56,,,
LEN,TL,ZNSE,LF7134-F,-20.00,12.70,12.63,ZNSE,2.00,7.90,,,
LEN,TL,ZNSE,LF7185-F,-40.00,12.70,10.88,ZNSE,3.00,7.65,,,
LEN,TL,ZNSE,LF7321-F,-200.00,25.40,57.69,ZNSE,4.00,45.92,,,
LEN,TL,ZNSE,LF7573-F,-1000.00,25.40,293.05,ZNSE,4.00,240.47,,,
LEN,TL,ZNSE,LF7589-F,-750.00,25.40,219.57,ZNSE,4.00,179.73,,,
LEN,TL,ZNSE,LF7601-F,-50.00,25.40,23.00,ZNSE,4.00,15.56,,,
LEN,TL,ZNSE,LF7639-F,-500.00,25.40,146.10,ZNSE,4.00,118.98,,,
LEN,TL,ZNSE,LF7733-F,-25.40,25.40,31.57,ZNSE,4.00,15.50,,,
LEN,TL,ZNSE,LF7769-F,-15.00,12.70,13.47,ZNSE,2.00,7.50,,,
LEN,TL,ZNSE,LF7785-F,-100.00,25.40,28.36,ZNSE,4.00,21.65,,,
