TYPE,MAN ID,PREFIX,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3,GL 3,TH 3,RD 4,GL 4,TH 4,RD 5,GL 5,TH 3,RD 6
LEN,E,ACH,45090,9,3,5.26,BK7,1.47,-3.98,SF5,1.03,-12.05,,,
LEN,E,ACH,45091,18,9,12.37,BaFN10,4.32,-7.38,SF10,1.15,-73.86,,,
LEN,E,ACH,45092,27,9,15.36,BK7,3.89,-12.01,SF5,1.3,-39.56,,,
LEN,E,ACH,45103,40,15,26.97,BaFN10,5.98,-17.64,SF10,1.6,-205.03,,,
LEN,E,ACH,45104,40,18,26.97,BaFN10,5.98,-17.64,SF10,1.6,-205.03,,,
LEN,E,ACH,45105,80,40,53.76,BaFN10,12.07,-36.73,SF10,4,-435.85,,,
LEN,E,ACH,45135,30,6.25,18.11,BK7,2.3,-13.51,SF5,0.9,-39.29,,,
LEN,E,ACH,45136,45,12.5,26.82,BK7,3.5,-20.12,SF5,1.5,-61.38,,,
LEN,E,ACH,45137,60,12.5,36.51,BK7,3.5,-26.33,SF5,1.5,-78.35,,,
LEN,E,ACH,45138,50,15,26.81,BK7,5,-23.82,SF5,1.5,-90.79,,,
LEN,E,ACH,45139,75,15,39.61,BK7,5,-36.46,SF5,2.5,-145.02
LEN,E,ACH,45140,60,30,32.6,SSKN8,8.47,-31.81,SF10,2.99,-799.64
LEN,E,ACH,45173,40,6.25,25.05,BK7,2.3,-17.27,SF5,1,-49.33
LEN,E,ACH,45174,25,15,17.97,BaFN11,6.27,-11.2,SF10,1.76,-85.31
LEN,E,ACH,45175,30,20,21.41,BaFN11,8.4,-13.75,SF10,1.76,-105.58
LEN,E,ACH,45178,300,40,194.96,BaK4,9,-148.27,SF10,4.1,-483.71
LEN,E,ACH,45179,200,50,130.48,BaK4,9,-99.36,SF10,3.5,-320.2
LEN,E,ACH,45180,250,50,162.59,BaK4,9.75,-123.82,SF10,3.5,-402.58
