,,,PARTNUM,EFL,DIA,R1,G1,CT1,R2,G2,CT2,R3,G3,CT3,R4
LEN,RO,,L-AOC055,18,9,12.37,BAFN10,4.32,-7.38,SF10,1.15,-73.861
LEN,RO,,L-AOC056,300,50,192.49,SK11,6.65,-136.61,SF5,8,-552.26
LEN,RO,,L-AOC057,27,9,15.36,BK7,3.89,-12.01,SF5,1.3,-39.56
LEN,RO,,L-AOC058,29,9.3,17.886,BK7,2.2,-13.153,SF5,0.8,-37.968
LEN,RO,,L-AOC060,25.8,9.4,16.052,BK7,3,-11.508,SF5,1.5,-32.112
LEN,RO,,L-AOC061,25,10,15.57,BK7,4.1,-10.83,SF2,2,-31.125
LEN,RO,,L-AOC062,38,10,23.26,BK7,2.8,-16.913,SF5,1,-49.447
LEN,RO,,L-AOC063,40,10,24.63,BK7,3.3,-16.8,SF2,2,-52.916
LEN,RO,,L-AOC064,50,10,28.104,BK7,3,-21.99,SF2,2,-83.403
LEN,RO,,L-AOC065,55,10,33.172,BK7,2.2,-24.674,SF5,1.6,-72.187
LEN,RO,,L-AOC066,60.1,10,33.786,BK7,2.9,-25.942,SF2,2,-98.902
LEN,RO,,L-AOC067,69.9,10,37.408,BK7,2.7,-31.125,SF2,2,-135.008
LEN,RO,,L-AOC068,80.1,10,44.451,BK7,2.6,-34.868,SF2,2,-138.007
LEN,RO,,L-AOC069,181,12,111.086,BK7,2,-81.182,SF5,1.7,-239.693
LEN,RO,,L-AOC070,89.7,12,52.4,BK7,4.6,-36.639,F4,1.2,-151.653
LEN,RO,,L-AOC073,30.8,12.3,17.697,BK7,5.3,-13.558,SF5,1.4,-43.665
LEN,RO,,L-AOC074,14.01,12.5,10.6,H_BAF10,6.23,-7.72,H_FD5,1.5,-56.539
LEN,RO,,L-AOC075,20,12.5,14.367,H_BAF11,5.25,-8.99,SF10,1.1,-63.889
LEN,RO,,L-AOC076,24,12.5,14.02,BK7,4.4,-9.8,F4,0.6,-39.16
LEN,RO,,L-AOC077,25,12.5,17.27,H_BAF10,5,-10.99,SF10,1.25,-107.032
LEN,RO,,L-AOC078,35,12.5,22.94,SK11,3.68,-15.54,SF5,1.5,-58.841
LEN,RO,,L-AOC079,40,12.5,24.77,BK7,3.73,-18.01,SF5,1.33,-51.169
LEN,RO,,L-AOC080,45,12.5,26.82,BK7,3.5,-20.12,SF5,1.5,-61.38
LEN,RO,,L-AOC081,50,12.5,30.731,BK7,3.5,-22.32,SF5,1.5,-64.75
LEN,RO,,L-AOC082,60,12.5,36.51,BK7,3.5,-26.33,SF5,1.5,-78.352
LEN,RO,,L-AOC083,75,12.5,46.44,BK7,3,-33.77,SF5,1.6,-95.942
LEN,RO,,L-AOC084,50,12.7,30.686,BK7,3,-22.449,SF5,1.4,-65.296
LEN,RO,,L-AOC085,60,12.7,35.03,BK7,2.7,-24.5,F4,1,-101.399
LEN,RO,,L-AOC086,60.3,12.7,36.986,BK7,2.5,-27.129,SF5,1.6,-79.252
