TYPE,MAN ID,CAT,S/N,EFL,HEI,LEN,RD1,GLA1,TH1,RD2
CYL,OS,,22-3477,-70,18,40,-32.2,QUARTZ,2.4,0
CYL,OS,,22-3478,-70,27,30,-32.2,QUARTZ,2.3,0
CYL,OS,,22-3479,-70,27,40,-32.2,QUARTZ,2.3,0
CYL,OS,,22-3480,-80,18,20,-36.8,QUARTZ,3.6,0
CYL,OS,,22-3481,-80,18,30,-36.8,QUARTZ,3.6,0
CYL,OS,,22-3482,-80,18,40,-36.8,QUARTZ,3.6,0
CYL,OS,,22-3483,-80,27,30,-36.8,QUARTZ,1.8,0
CYL,OS,,22-3484,-80,27,20,-36.8,QUARTZ,1.8,0
CYL,OS,,22-3490,-100,18,20,-46,QUARTZ,2.9,0
CYL,OS,,22-3493,-100,18,50,-46,QUARTZ,2.9,0
CYL,OS,,22-3494,-100,27,30,-46,QUARTZ,2.5,0
CYL,OS,,22-3496,-100,27,50,-46,QUARTZ,2.5,0
CYL,OS,,22-3550,-130,18,20,-59.8,QUARTZ,3.2,0
CYL,OS,,22-3553,-130,18,50,-59.8,QUARTZ,3.2,0
CYL,OS,,22-3554,-130,27,30,-59.8,QUARTZ,3.1,0
CYL,OS,,22-3556,-130,27,50,-59.8,QUARTZ,3.1,0
CYL,OS,,22-3565,-150,18,50,-69,QUARTZ,3.3,0
CYL,OS,,22-3567,-150,27,30,-69,QUARTZ,3.3,0
CYL,OS,,22-3570,-150,27,50,-69,QUARTZ,3.3,0
CYL,OS,,22-3574,-200,18,20,-92,QUARTZ,3.5,0
CYL,OS,,22-3577,-200,18,50,-92,QUARTZ,3.5,0
CYL,OS,,22-3578,-200,27,30,-92,QUARTZ,3.8,0
CYL,OS,,22-3580,-200,27,50,-92,QUARTZ,3.8,0
CYL,OS,,22-3584,-250,18,20,-115,QUARTZ,3.6,0
CYL,OS,,22-3587,-250,18,50,-115,QUARTZ,3.6,0
CYL,OS,,22-3588,-250,27,30,-115,QUARTZ,4,0
CYL,OS,,22-3590,-250,27,50,-115,QUARTZ,4,0
CYL,OS,,22-3604,-300,18,20,-138,QUARTZ,3.6,0
CYL,OS,,22-3605,-300,18,30,-138,QUARTZ,3.6,0
CYL,OS,,22-3606,-300,18,40,-138,QUARTZ,3.6,0
CYL,OS,,22-3607,-300,18,50,-138,QUARTZ,3.6,0
CYL,OS,,22-3608,-300,27,30,-138,QUARTZ,4.2,0
CYL,OS,,22-3610,-300,27,50,-138,QUARTZ,4.2,0
