TYPE,MAN ID,CAT,S/N,EFL,DIA 100%,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3,GL 3,TH 3,RD 4,GL 4,TH 4,RD 5,GL 5,TH 5,RD 6
LEN,CV,VIS,BCB-50.8-75.0-C,-72.8,50.8,-75,N-BK7,3,75
LEN,CV,VIS,BCB-6.0-8.6-C,-8.3,6,-8.6,N-BK7,2.4,8.6
LEN,CV,VIS,BCB-6.4-13.1-C,-12.7,6.4,-13.1,N-BK7,2.5,13.1
LEN,CV,VIS,BCB-8.0-25.9-C,-25.1,8,-25.9,N-BK7,2,25.9
LEN,CV,UV,BCF-10.0-10.3-UV,-10.8,10,-10.3,SILUV,2,10.3
LEN,CV,UV,BCF-10.0-20.9-UV,-21.9,10,-20.9,SILUV,2,20.9
LEN,CV,UV,BCF-10.0-25.8-UV,-27.1,10,-25.8,SILUV,2,25.8
LEN,CV,UV,BCF-12.7-25.8-UV,-27.1,12.7,-25.8,SILUV,2.5,25.8
LEN,CV,UV,BCF-20.0-20.9-UV,-21.9,20,-20.9,SILUV,2,20.9
LEN,CV,UV,BCF-20.0-25.8-UV,-27.1,20,-25.8,SILUV,2,25.8
LEN,CV,UV,BCF-25.4-103.4-UV,-108.6,25.4,-103.4,SILUV,2.6,103.4
LEN,CV,UV,BCF-25.4-1030.0-UV,-1081.7,25.4,-1030,SILUV,4.1,1030
LEN,CV,UV,BCF-25.4-156.3-UV,-164.1,25.4,-156.3,SILUV,3.3,156.3
LEN,CV,UV,BCF-25.4-206.6-UV,-217,25.4,-206.6,SILUV,3.4,206.6
LEN,CV,UV,BCF-25.4-25.8-UV,-27.1,25.4,-25.8,SILUV,3,25.8
LEN,CV,UV,BCF-25.4-258.4-UV,-271.4,25.4,-258.4,SILUV,3.6,258.4
LEN,CV,UV,BCF-25.4-31.4-UV,-33,25.4,-31.4,SILUV,3,31.4
LEN,CV,UV,BCF-25.4-417.7-UV,-438.6,25.4,-417.7,SILUV,3.8,417.7
LEN,CV,UV,BCF-25.4-51.7-UV,-54.3,25.4,-51.7,SILUV,3,51.7
LEN,CV,UV,BCF-25.4-516.8-UV,-542.7,25.4,-516.8,SILUV,3.9,516.8
LEN,CV,UV,BCF-25.4-78.2-UV,-82.1,25.4,-78.2,SILUV,3,78.2
LEN,CV,UV,BCF-25.4-82.4-UV,-86.5,25.4,-82.4,SILUV,3,82.4
LEN,CV,UV,BCF-38.1-51.7-UV,-54.3,38.1,-51.7,SILUV,3,51.7
LEN,CV,UV,BCF-50.8-103.4-UV,-108.6,50.8,-103.4,SILUV,3,103.4
LEN,CV,UV,BCF-50.8-1030.0-UV,-1081.7,50.8,-1030,SILUV,7.4,1030
LEN,CV,UV,BCF-50.8-156.3-UV,-164.1,50.8,-156.3,SILUV,4.2,156.3
LEN,CV,UV,BCF-50.8-206.6-UV,-217,50.8,-206.6,SILUV,3.2,206.6
LEN,CV,UV,BCF-50.8-258.4-UV,-271.4,50.8,-258.4,SILUV,5.7,258.4
LEN,CV,UV,BCF-50.8-417.7-UV,-438.6,50.8,-417.7,SILUV,6.3,417.7
LEN,CV,UV,BCF-50.8-516.8-UV,-542.7,50.8,-516.8,SILUV,6.9,516.8
LEN,CV,UV,BCF-6.4-13.1-UV,-13.8,6.4,-13.1,SILUV,2.5,13.1
LEN,CV,UV,BCF-7.0-25.8-UV,-27.1,7,-25.8,SILUV,2,25.8
LEN,CV,VIS,BFPL-12.7-25.0-C,24.6,12.7,14.399,N-BK7,4,-96.004
LEN,CV,UV,BFPL-12.7-25.0-UV,26.6,12.7,14.399,SILUV,4,-96.004
LEN,CV,VIS,BFPL-12.7-38.1-C,38.6,12.7,22.768,N-BK7,4,-147.34
LEN,CV,UV,BFPL-12.7-38.1-UV,41.7,12.7,22.768,SILUV,4,-147.34
LEN,CV,VIS,BFPL-25.4-100.0-C,101.6,25.4,60.037,N-BK7,4,-400.056
LEN,CV,UV,BFPL-25.4-100.0-UV,110,25.4,60.037,SILUV,4,-400.056
LEN,CV,VIS,BFPL-25.4-125.0-C,124.7,25.4,73.661,N-BK7,4,-491.976
LEN,CV,UV,BFPL-25.4-125.0-UV,134.9,25.4,73.661,SILUV,4,-491.976
LEN,CV,VIS,BFPL-25.4-150.0-C,148.5,25.4,87.574,N-BK7,4,-594.354
LEN,CV,UV,BFPL-25.4-150.0-UV,160.6,25.4,87.574,SILUV,4,-594.354
LEN,CV,VIS,BFPL-25.4-200.0-C,200,25.4,118.506,N-BK7,4,-779.902
LEN,CV,UV,BFPL-25.4-200.0-UV,216.4,25.4,118.506,SILUV,4,-779.902
LEN,CV,VIS,BFPL-25.4-50.0-C,50.7,25.4,29.802,N-BK7,4,-200.04
LEN,CV,UV,BFPL-25.4-50.0-UV,54.8,25.4,29.802,SILUV,4,-200.04
LEN,CV,VIS,BFPL-25.4-75.0-C,74.7,25.4,44.117,N-BK7,4,-292.794
LEN,CV,UV,BFPL-25.4-75.0-UV,80.8,25.4,44.117,SILUV,4,-292.794
LEN,CV,VIS,BICC-10.0-23.4-C,-22.5,10,-23.4,N-BK7,1.1,23.4
LEN,CV,VIS,BICC-12.0-12.7-C,-12,12,-12.7,N-BK7,2,12.7
LEN,CV,VIS,BICC-12.7-10.8-C,-10.2,12.7,-10.8,N-BK7,2,10.8
LEN,CV,VIS,BICC-15.0-103.4-C,-100,15,-103.4,N-BK7,2,103.4
LEN,CV,VIS,BICC-15.0-26.1-C,-25,15,-26.1,N-BK7,2,26.1
LEN,CV,VIS,BICC-19.1-20.9-C,-20,19.1,-20.9,N-BK7,2,20.9
LEN,CV,UV,BICC-19.1-20.9-UV,-21.6,19.1,-20.9,SILUV,2,20.9
LEN,CV,UV,BICC-19.1-36.4-UV,-37.9,19.1,-36.4,SILUV,2,36.4
LEN,CV,UV,BICC-19.1-72.5-UV,-75.8,19.1,-72.5,SILUV,2,72.5
LEN,CV,VIS,BICC-25.0-26.1-C,-25,25,-26.1,N-BK7,2,26.1
LEN,CV,VIS,BICC-25.0-26.4-C,-25.3,25,-26.4,N-BK7,2.1,26.4
LEN,CV,VIS,BICC-25.4-103.4-C,-99.9,25.4,-103.4,N-BK7,2.6,103.4
LEN,CV,UV,BICC-25.4-103.4-UV,-108.1,25.4,-103.4,SILUV,2.6,103.4
LEN,CV,UV,BICC-25.4-1030.5-UV,-1082.3,25.4,-1030.5,SILUV,3.5,1030.5
LEN,CV,VIS,BICC-25.4-129.1-C,-125,25.4,-129.1,N-BK7,2.9,129.1
LEN,CV,VIS,BICC-25.4-154.9-C,-149.8,25.4,-154.9,N-BK7,3.2,154.9
LEN,CV,UV,BICC-25.4-154.9-UV,-162.1,25.4,-154.9,SILUV,3.2,154.9
LEN,CV,VIS,BICC-25.4-206.4-C,-200,25.4,-206.4,N-BK7,3.4,206.4
LEN,CV,UV,BICC-25.4-206.4-UV,-216.4,25.4,-206.4,SILUV,3.4,206.4
LEN,CV,UV,BICC-25.4-257.9-UV,-270.9,25.4,-257.9,SILUV,2,257.9
LEN,CV,UV,BICC-25.4-26.1-UV,-27.1,25.4,-26.1,SILUV,2,26.1
LEN,CV,VIS,BICC-25.4-309.4-C,-300.3,25.4,-309.4,N-BK7,2,309.4
LEN,CV,VIS,BICC-25.4-412.4-C,-400.3,25.4,-412.4,N-BK7,2,412.4
LEN,CV,UV,BICC-25.4-412.4-UV,-432.8,25.4,-412.4,SILUV,3.8,412.4
LEN,CV,UV,BICC-25.4-51.8-UV,-54.1,25.4,-51.8,SILUV,2,51.8
LEN,CV,VIS,BICC-25.4-515.8-C,-500.7,25.4,-515.8,N-BK7,2,515.8
LEN,CV,UV,BICC-25.4-515.8-UV,-541.7,25.4,-515.8,SILUV,3.5,515.8
LEN,CV,VIS,BICC-25.4-618.4-C,-600.3,25.4,-618.4,N-BK7,2,618.4
LEN,CV,VIS,BICC-25.4-77.6-C,-75,25.4,-77.6,N-BK7,2,77.6
LEN,CV,UV,BICC-25.4-77.6-UV,-81.2,25.4,-77.6,SILUV,2,77.6
LEN,CV,UV,BICC-38.1-257.9-UV,-270.5,38.1,-257.9,SILUV,5.3,257.9
LEN,CV,VIS,BICC-38.1-309.4-C,-300,38.1,-309.4,N-BK7,2,309.4
LEN,CV,VIS,BICC-38.1-412.4-C,-400,38.1,-412.4,N-BK7,6,412.4
LEN,CV,UV,BICC-38.1-412.4-UV,-432.8,38.1,-412.4,SILUV,5.3,412.4
LEN,CV,VIS,BICC-38.1-51.8-C,-50,38.1,-51.8,N-BK7,2,51.8
LEN,CV,UV,BICC-38.1-51.8-UV,-54.1,38.1,-51.8,SILUV,2,51.8
LEN,CV,VIS,BICC-38.1-618.4-C,-600,38.1,-618.4,N-BK7,6,618.4
LEN,CV,UV,BICC-38.1-618.4-UV,-649.1,38.1,-618.4,SILUV,6.3,618.4
LEN,CV,VIS,BICC-42.0-51.8-C,-50,42,-51.8,N-BK7,2,51.8
LEN,CV,VIS,BICC-5.0-5.5-C,-5,5,-5.5,N-BK7,2,5.5
LEN,CV,UV,BICC-50.0-1030.5-UV,-1081.9,50,-1030.5,SILUV,7.7,1030.5
LEN,CV,VIS,BICC-50.0-206.4-C,-200,50,-206.4,N-BK7,5.3,206.4
LEN,CV,UV,BICC-50.0-51.8-UV,-54.1,50,-51.8,SILUV,2,51.8
LEN,CV,UV,BICC-50.0-515.8-UV,-541.4,50,-515.8,SILUV,7.1,515.8
LEN,CV,VIS,BICC-50.8-103.4-C,-100,50.8,-103.4,N-BK7,2.2,103.4
LEN,CV,UV,BICC-50.8-103.4-UV,-108.2,50.8,-103.4,SILUV,2.2,103.4
LEN,CV,UV,BICC-50.8-1030.5-UV,-1082.3,50.8,-1030.5,SILUV,7.7,1030.5
LEN,CV,UV,BICC-50.8-154.9-UV,-162.7,50.8,-154.9,SILUV,2,154.9
LEN,CV,VIS,BICC-50.8-206.4-C,-200,50.8,-206.4,N-BK7,5.4,206.4
LEN,CV,UV,BICC-50.8-206.4-UV,-216.8,50.8,-206.4,SILUV,3.4,206.4
LEN,CV,UV,BICC-50.8-257.9-UV,-270.9,50.8,-257.9,SILUV,5.3,257.9
LEN,CV,VIS,BICC-50.8-309.4-C,-300.3,50.8,-309.4,N-BK7,6.3,309.4
LEN,CV,VIS,BICC-50.8-412.4-C,-400.3,50.8,-412.4,N-BK7,6,412.4
LEN,CV,VIS,BICC-50.8-515.8-C,-500.4,50.8,-515.8,N-BK7,2.3,515.8
LEN,CV,UV,BICC-50.8-515.8-UV,-541.7,50.8,-515.8,SILUV,7.1,515.8
LEN,CV,VIS,BICC-50.8-618.4-C,-600.3,50.8,-618.4,N-BK7,6.3,618.4
LEN,CV,VIS,BICC-6.0-8.6-C,-8,6,-8.6,N-BK7,2,8.6
LEN,CV,VIS,BICC-8.0-26.1-C,-25,8,-26.1,N-BK7,2,26.1
LEN,CV,VIS,BICX-10.0-102.7-C,100,10,102.7,N-BK7,2,-102.7
LEN,CV,UV,BICX-10.0-102.7-UV,108.2,10,102.7,SILUV,2,-102.7
LEN,CV,VIS,BICX-10.0-128.4-C,125,10,128.4,N-BK7,2,-128.4
LEN,CV,VIS,BICX-10.0-205.7-C,200,10,205.7,N-BK7,2,-205.7
LEN,CV,VIS,BICX-10.0-25.2-C,25,10,25.2,N-BK7,3,-25.2
