TYPE,MAN ID,CAT,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3
LEN,O,BIC,39317,76,25.4,68.4,Quartz,4,-68.4
LEN,O,BIC,39318,101,25.4,90.9,Quartz,4,-90.9
LEN,O,BIC,39321,32,38.1,28.8,Quartz,17.8,-28.8
LEN,O,BIC,39322,38,38.1,34.2,Quartz,13.2,-34.2
LEN,O,BIC,39323,51,38.1,45.9,Quartz,10.3,-45.9
LEN,O,BIC,39324,63,38.1,56.7,Quartz,8.4,-56.7
LEN,O,BIC,39325,76,38.1,68.4,Quartz,7.3,-68.4
LEN,O,BIC,39326,101,38.1,90.9,Quartz,5.8,-90.9
LEN,O,BIC,39327,128,38.1,115.2,Quartz,5,-115.2
LEN,O,BIC,39331,39,50.8,35.1,Quartz,28,-35.1
LEN,O,BIC,39332,51,50.8,45.9,Quartz,18.5,-45.9
LEN,O,BIC,39333,64,50.8,57.6,Quartz,14.4,-57.6
LEN,O,BIC,39334,76,50.8,68.4,Quartz,11.8,-68.4
LEN,O,BIC,39335,101,50.8,90.9,Quartz,9.3,-90.9
LEN,O,BIC,39336,126,50.8,113.4,Quartz,7.7,-113.4
LEN,O,BIC,39337,176,50.8,158.4,Quartz,6.4,-158.4
LEN,O,BIC,39338,252,50.8,226.8,Quartz,6.4,-226.8
LEN,O,BIC,39341,64,76.2,57.6,Quartz,33.7,-57.6
LEN,O,BIC,39342,78,76.2,70.2,Quartz,26.1,-70.2
LEN,O,BIC,39343,101,76.2,90.9,Quartz,19.5,-90.9
LEN,O,BIC,39344,126,76.2,113.4,Quartz,16.2,-113.4
LEN,O,BIC,39345,176,76.2,158.4,Quartz,12,-158.4
LEN,O,BIC,39346,101,101.6,90.9,Quartz,34,-90.9
LEN,O,PCX,43150,50,25.4,20.02,CAF,6.3,0
LEN,O,PCX,43160,100,25.4,39.99,CAF,4.1,0
LEN,O,PCX,43190,500,25.4,200.28,CAF,2.4,0
