Type,ID,Cat,Part #,EFL,Diameter,R1,Glass 1,Th 1,R2,Glass 2,Th 2,R3,,
LEN,TL,AC,AC254-040-B,40.03,25.40,26.12,N-BAF10,10.00,-21.28,N-SF6HT,2.50,-137.09,,
LEN,TL,AC,AC254-040-C,40.01,25.40,24.43,N-LAK22,10.00,-21.09,N-SF6HT,1.80,-143.92,,
LEN,TL,AC,AC254-045-A,45.04,25.40,31.24,N-BAF10,7.00,-25.94,N-SF6HT,2.00,-130.62,,
LEN,TL,AC,AC254-045-B,44.96,25.40,29.38,N-LAK22,7.80,-25.05,N-SF6HT,1.60,-127.06,,
LEN,TL,AC,AC254-045-C,45.03,25.40,22.94,N-LAK22,9.60,-23.66,N-SF6HT,1.80,900.00,,
LEN,TL,AC,AC254-050-A,50.17,25.40,33.34,N-BAF10,9.00,-22.28,SF10,2.50,-291.07,,
LEN,TL,AC,AC254-050-B,50.05,25.40,33.55,N-LAK22,7.50,-27.05,N-SF6HT,1.80,-125.60,,
LEN,TL,AC,AC254-050-C,49.98,25.40,22.94,N-LAK22,9.00,-25.88,N-SF6HT,1.80,194.54,,
LEN,TL,AC,AC254-060-A,60.07,25.40,41.69,E-BAF11,8.00,-25.88,FD10,2.50,-230.70,,
LEN,TL,AC,AC254-060-B,60.06,25.40,39.48,N-LAK22,6.00,-33.00,N-SF6HT,1.70,-165.20,,
LEN,TL,AC,AC254-060-C,59.99,25.40,23.88,N-LAK22,8.30,-28.12,N-SF6HT,1.80,112.08,,
LEN,TL,AC,AC254-075-A,74.90,25.40,46.54,N-BK7,7.00,-33.91,SF5,2.50,-95.54,,
LEN,TL,AC,AC254-075-B,74.95,25.40,36.90,N-BAF10,5.00,-42.17,N-SF6HT,1.60,417.80,,
LEN,TL,AC,AC254-075-C,75.11,25.40,26.36,N-BAF10,7.60,-29.38,N-SF6HT,1.80,84.92,,
LEN,TL,AC,AC254-100-A,100.07,25.40,62.75,N-BK7,4.00,-45.71,SF5,2.50,-128.23,,
LEN,TL,AC,AC254-100-B,100.04,25.40,66.68,N-LAK22,4.00,-53.70,N-SF6HT,1.50,-259.41,,
LEN,TL,AC,AC254-100-C,100.12,25.40,32.14,N-BAF10,6.50,-38.02,N-SF6HT,1.80,93.54,,
LEN,TL,AC,AC254-150-A,149.98,25.40,91.62,N-BK7,5.70,-66.68,SF5,2.20,-197.70,,
LEN,TL,AC,AC254-150-B,149.18,25.40,83.60,N-LAK22,4.00,-89.33,N-SF6HT,3.50,-1330.50,,
LEN,TL,AC,AC254-150-C,150.50,25.40,42.69,N-BAF10,5.00,-52.00,N-SF6HT,2.50,111.51,,
LEN,TL,AC,AC254-200-A,200.25,25.40,77.40,N-SSK5,4.00,-87.57,LAFN7,2.50,291.07,,
LEN,TL,AC,AC254-200-B,200.20,25.40,106.41,N-LAK22,4.00,-96.61,SF10,4.00,2000.00,,
LEN,TL,AC,AC254-200-C,200.14,25.40,70.00,N-LAK22,4.00,-95.94,N-SF6HT,3.00,274.31,,
LEN,TL,AC,AC254-250-A,250.02,25.40,137.09,N-BK7,4.00,-111.51,SF2,2.00,-459.20,,
LEN,TL,AC,AC254-250-B,247.26,25.40,52.00,SF5,4.00,-65.31,N-SF6HT,1.50,111.51,,
LEN,TL,AC,AC254-250-C,249.19,25.40,43.95,SF2,4.50,-57.68,N-SF6HT,2.50,93.11,,
LEN,TL,AC,AC254-300-A,300.23,25.40,165.20,N-BK7,4.00,-137.09,SF2,2.00,-557.40,,
LEN,TL,AC,AC254-300-B,300.60,25.40,62.40,SF5,4.00,-77.40,N-SF6HT,2.00,134.00,,
