TYPE,MAIN ID,CAT,S/N,EFL,DIA,RD 1,CONIC 1,AS0 A0,AS1 A2,AS2 A4,AS3 A6,AS4 A8,AS5 A10,AS6 A12,AS7 A14,AS8 A16 ,GL 1,TH 1,RD 2,CONIC 2,AS0 A0,AS1 A2,AS2 A4,AS3 A6,AS4 A8,AS5 A10,AS6 A12,AS7 A14,AS8 A16 
ASP,LH,,352170,6.17,3.7,4.255019913,-0.967364632,0,0,0.000348506,-1.55E-05,0,0,0,0,0,ECO550,3.48,-19.16411174,0,0,0,0,0,0,0,0,0,0
ASP,LH,,352220,11.00577,5.5,6.636489952,-0.550011188,0,0,2.67E-06,-4.20E-07,0,0,0,0,0,ECO550,5,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,352230,4.510329,4.95,2.963267745,-0.35523609,0,0,-0.001328511,-0.000139745,-3.77E-06,-1.01E-06,0,0,0,ECO550,2.94,-18.73060252,0,0,0,0,0,0,0,0,0,0
ASP,LH,,352240,8.000007,8,5.068586797,-0.475539531,0,0,0,-4.27E-06,2.93E-07,-1.34E-08,0,0,0,ECO550,3.69,-61.17170305,0,0,0,0.000429777,-1.06E-05,0,0,0,0,0
ASP,LH,,352671,4.018643,4.8,2.714348334,-0.997557747,0,0,0.002598696,2.37E-05,-3.65E-06,0,0,0,0,ECO550,3.02,-19.51325558,0,0,0,0.000772987,0,0,0,0,0,0
ASP,LH,,370060,0.6819566,0.84,0.592987678,-9.625522114,0,0,4.303506868,-23.83791354,89.16769354,-142.2056626,0,0,0,O_PBH71,0.8,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,370631,0.3819439,0.530145313,0,0,0,0,0,0,0,0,0,0,0,O_PBH71,0.35,-0.333904219,-0.616243673,0,0,0.441594133,3.253754755,-2.799274769,85.06887475,0,0,0
ASP,LH,,370840,0.7500503,1.2,0.721482233,-0.78329775,0,0,0.181299278,-0.874684631,3.599849987,-6.362091747,0,0,0,O_PBH71,1.130984255,-1.839852727,0,0,0,2.075638229,-28.96851314,120.7816781,0,0,0,0
ASP,LH,,370880,0.6999762,0.84,0.760881646,1.301132757,0,0,-0.531711974,-3.506739584,13.07130194,-75.83590335,0,0,0,O_PBH71,0.95,-1.275601035,0,0,0,1.074598852,-23.23720358,166.5834796,0,0,0,0
ASP,LH,,370890,1.79999,1.079991863,1.56516103,-0.908727706,0,0,0.02398854,-0.076864796,0.130422942,0,0,0,0,O_PBH71,1.28,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,370920,0.7500503,1.2,0.721482233,-0.78329775,0,0,0.181299278,-0.874684631,3.599849987,-6.362091747,0,0,0,O_PBH71,1.130984255,-1.839852727,0,0,0,2.075638229,-28.96851314,120.7816781,0,0,0,0
ASP,LH,,370930,0.6999762,0.84,0.760881646,1.301132757,0,0,-0.531711974,-3.506739584,13.07130194,-75.83590335,0,0,0,O_PBH71,0.95,-1.275601035,0,0,0,1.074598852,-23.23720358,166.5834796,0,0,0,0
ASP,LH,,370940,3.998867,1.37,3.477169546,0,0,0,-0.007261137,0.013255188,-0.010977407,0,0,0,0,O_PBH71,1.23,0,0,0,0,0,0,0,0,0,0,0
