Type,ID,Cat,Part #,EFL,Height,Length,R1,Glass,CT,R2,,,,
CYL,TL,VIS,LJ1918L2,5.79,4.00,8.00,2.99,N-BK7,2.76,0.00,,,,
CYL,TL,VIS,LJ1227L1,6.35,6.00,8.00,3.28,N-BK7,3.95,0.00,,,,
CYL,TL,VIS,LJ1227L2,6.35,6.00,12.00,3.28,N-BK7,3.95,0.00,,,,
CYL,TL,VIS,LJ1874L1,7.70,7.00,9.00,3.98,N-BK7,4.09,0.00,,,,
CYL,TL,VIS,LJ1874L2,7.70,7.00,14.00,3.98,N-BK7,4.09,0.00,,,,
CYL,TL,UV,LJ4359,8.03,7.20,11.00,3.68,SILICA,4.91,0.00,,,,
CYL,TL,VIS,LJ1878L1,10.00,10.00,12.00,5.17,N-BK7,5.88,0.00,,,,
CYL,TL,VIS,LJ1878L2,10.00,10.00,20.00,5.17,N-BK7,5.88,0.00,,,,
CYL,TL,UV,LJ4918,10.03,9.00,14.00,4.60,SILICA,5.64,0.00,,,,
CYL,TL,VIS,LJ1942L1,12.69,10.00,12.00,6.56,N-BK7,4.31,0.00,,,,
CYL,TL,VIS,LJ1942L2,12.69,10.00,20.00,6.56,N-BK7,4.31,0.00,,,,
CYL,TL,UV,LJ4748,12.74,10.00,15.00,5.84,SILICA,4.81,0.00,,,,
CYL,TL,VIS,LJ1909L1,13.70,13.00,15.00,7.08,N-BK7,6.27,0.00,,,,
CYL,TL,VIS,LJ1636L1,15.00,10.00,12.00,7.75,N-BK7,3.82,0.00,,,,
CYL,TL,VIS,LJ1636L2,15.00,10.00,20.00,7.75,N-BK7,3.82,0.00,,,,
CYL,TL,VIS,LJ1095L1,19.00,16.00,18.00,9.82,N-BK7,6.13,0.00,,,,
CYL,TL,VIS,LJ1155L1,19.70,16.00,18.00,10.18,N-BK7,5.88,0.00,,,,
CYL,TL,VIS,LJ1328L1,20.01,15.00,12.00,10.34,N-BK7,5.22,0.00,,,,
CYL,TL,VIS,LJ1328L2,20.01,15.00,20.00,10.34,N-BK7,5.22,0.00,,,,
CYL,TL,VIS,LJ1960L1,20.01,10.00,17.00,10.34,N-BK7,3.29,0.00,,,,
CYL,TL,VIS,LJ1960L2,20.01,10.00,30.00,10.34,N-BK7,3.29,0.00,,,,
CYL,TL,VIS,LJ1638L1,22.19,12.50,15.00,11.47,N-BK7,3.85,0.00,,,,
CYL,TL,VIS,LJ1075L1,24.88,20.00,12.00,12.86,N-BK7,6.74,0.00,,,,
CYL,TL,VIS,LJ1075L2,24.88,20.00,20.00,12.86,N-BK7,6.74,0.00,,,,
CYL,TL,VIS,LJ1810L1,24.88,10.00,22.00,12.86,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LJ1810L2,24.88,10.00,40.00,12.86,N-BK7,3.00,0.00,,,,
CYL,TL,UV,LJ4426,25.08,20.00,30.00,11.50,SILICA,7.81,0.00,,,,
CYL,TL,UV,LJ4794,25.08,10.00,15.00,11.50,SILICA,3.14,0.00,,,,
CYL,TL,UV,LJ4862,25.08,15.00,23.00,11.50,SILICA,4.78,0.00,,,,
CYL,TL,UV,LJ1014L1,25.39,16.00,18.00,12.12,N-BK7,11.82,0.00,,,,
CYL,TL,VIS,LJ1622L1,25.39,25.40,18.00,13.12,N-BK7,11.82,0.00,,,,
CYL,TL,UV,LJ4107,25.48,23.00,35.00,11.68,SILICA,11.60,0.00,,,,
CYL,TL,VIS,LJ1212L1,29.99,20.00,28.00,15.50,N-BK7,5.65,0.00,,,,
CYL,TL,VIS,LJ1212L2,29.99,20.00,22.00,15.50,N-BK7,5.65,0.00,,,,
CYL,TL,UV,LJ4305,30.10,20.00,20.00,13.80,SILICA,6.28,0.00,,,,
CYL,TL,VIS,LJ1765L1,38.12,25.40,40.00,19.70,N-BK7,6.64,0.00,,,,
CYL,TL,VIS,LJ1125L1,40.00,20.00,28.00,20.67,N-BK7,4.57,0.00,,,,
CYL,TL,VIS,LJ1125L2,40.00,20.00,12.00,20.67,N-BK7,4.57,0.00,,,,
CYL,TL,VIS,LJ1402L1,40.00,10.00,20.00,20.67,N-BK7,2.61,0.00,,,,
CYL,TL,VIS,LJ1402L2,40.00,10.00,22.00,20.67,N-BK7,2.61,0.00,,,,
CYL,TL,VIS,LJ1695L1,50.00,30.00,40.00,25.84,N-BK7,6.80,0.00,,,,
CYL,TL,VIS,LJ1695L2,50.00,30.00,22.00,25.84,N-BK7,6.80,0.00,,,,
CYL,TL,VIS,LJ1821L1,50.00,20.00,32.00,25.84,N-BK7,4.01,0.00,,,,
CYL,TL,VIS,LJ1821L2,50.00,20.00,60.00,25.84,N-BK7,4.01,0.00,,,,
CYL,TL,VIS,LJ1728L1,50.99,50.80,50.80,26.35,N-BK7,21.62,0.00,,,,
CYL,TL,VIS,LJ1430L1,59.99,30.00,30.00,31.00,N-BK7,5.87,0.00,,,,
CYL,TL,VIS,LJ1430L2,59.99,30.00,30.00,31.00,N-BK7,5.87,0.00,,,,
CYL,TL,VIS,LJ1477L1,69.99,30.00,30.00,36.17,N-BK7,5.25,0.00,,,,
CYL,TL,VIS,LJ1703L1,75.00,50.80,50.80,38.76,N-BK7,11.48,0.00,,,,
CYL,TL,UV,LJ4878,75.25,20.00,30.00,34.50,SILICA,3.48,0.00,,,,
CYL,TL,UV,LJ1054L1,75.60,50.80,25.40,39.07,N-BK7,5.12,0.00,,,,
CYL,TL,VIS,LJ1054L2,75.60,25.40,25.40,39.07,N-BK7,5.12,0.00,,,,
CYL,TL,VIS,LJ1258L1,75.60,50.80,50.80,39.07,N-BK7,12.38,0.00,,,,
CYL,TL,VIS,LJ1105L1,79.99,20.00,20.00,41.34,N-BK7,4.22,0.00,,,,
CYL,TL,VIS,LJ1105L2,79.99,20.00,20.00,41.34,N-BK7,4.22,0.00,,,,
CYL,TL,VIS,LJ1567L1,100.00,30.00,30.00,51.68,N-BK7,5.22,0.00,,,,
CYL,TL,VIS,LJ1567L2,100.00,30.00,30.00,51.68,N-BK7,5.22,0.00,,,,
CYL,TL,UV,LJ4395,100.34,30.00,45.00,46.00,SILICA,5.51,0.00,,,,
CYL,TL,VIS,LJ1640L1,129.99,30.00,30.00,67.18,N-BK7,4.69,0.00,,,,
CYL,TL,VIS,LJ1640L2,129.99,30.00,30.00,67.18,N-BK7,4.69,0.00,,,,
CYL,TL,VIS,LJ1934L1,150.00,20.00,20.00,76.52,N-BK7,4.46,0.00,,,,
CYL,TL,VIS,LJ1629L1,150.00,30.00,30.00,77.52,N-BK7,4.46,0.00,,,,
CYL,TL,VIS,LJ1629L2,150.00,30.00,30.00,77.52,N-BK7,4.46,0.00,,,,
CYL,TL,VIS,LJ1895L1,150.00,100.00,100.00,77.52,N-BK7,21.28,0.00,,,,
CYL,TL,VIS,LJ1309L1,200.00,100.00,100.00,103.36,N-BK7,15.89,0.00,,,,
