TYPE,MAN ID,CAT,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3,GL 3,TH 3,RD 4
LEN,LP,,311357,71.384,31.5,72.862, N-BK7     ,5.5,-72.862
LEN,LP,,311359,122.999,50,125.89, N-BK7     ,7.5,-125.89
LEN,LP,,311368,154.367,100,156.22, N-BK7     ,19.5,-156.22
LEN,LP,,311377,12.37,12.5,11.971, BK7       ,4.5,-11.971
LEN,LP,,311378,15.932,18,15.179, N-BK7     ,7,-15.179
LEN,LP,,311381,14.955,12.7,14.749, N-BK7     ,4,-14.749
LEN,LP,,311382,19.943,12.7,20.097, N-BK7     ,3,-20.097
LEN,LP,,311383,29.794,12.7,30.287, N-BK7     ,3,-30.287
LEN,LP,,311384,49.9,12.7,51.08, N-BK7     ,3,-51.08
LEN,LP,,311385,78.995,12.7,81.166, N-BK7     ,3,-81.166
LEN,LP,,311386,100.033,12.7,102.92, N-BK7     ,3,-102.92
LEN,LP,,311387,149.423,12.7,153.99, N-BK7     ,3,-153.99
LEN,LP,,311711,33.208,31.5,28.49, SILICA    ,11.5,-28.49
LEN,LP,,311712,44.369,31.5,39.243, SILICA    ,8.6,-39.243
LEN,LP,,311713,55.423,31.5,49.594, SILICA    ,7.3,-49.594
LEN,LP,,311714,66.583,31.5,60, SILICA    ,6.2,-60
LEN,LP,,311715,88.856,31.5,80.583, SILICA    ,5.1,-80.583
LEN,LP,,311716,111.14,31.5,101.092, SILICA    ,4.5,-101.092
LEN,LP,,311718,133.29,31.5,121.446, SILICA    ,4.1,-121.446
LEN,LP,,312000,1,1.5,0.85, LaSFN9    ,0.8,0
LEN,LP,,312001,1.5,2,1.275, LaSFN9    ,0.8,0
LEN,LP,,312002,2,2.5,1.7, LaSFN9    ,0.8,0
LEN,LP,,312003,2.501,3,2.126, LaSFN9    ,1,0
LEN,LP,,312004,2.998,3,1.55, N-BK7     ,1.5,0
LEN,LP,,312005,3.499,3.5,1.809, N-BK7     ,1.75,0
LEN,LP,,312006,3.998,4,2.067, N-BK7     ,2,0
LEN,LP,,312007,4.998,5,2.584, N-BK7     ,2.5,0
LEN,LP,,312008,5.998,6,3.101, N-BK7     ,3,0
LEN,LP,,312009,6.998,7,3.618, N-BK7     ,3.5,0
LEN,LP,,312010,7.996,8,4.134, N-BK7     ,4,0
LEN,LP,,312011,9.996,10,5.168, N-BK7     ,5,0
LEN,LP,,312201,10.119,6,5.464, N-BAK2    ,2,0
LEN,LP,,312012,4.138,5,3.277, N-LAF21   ,3,0
LEN,LP,,312013,6.171,5,4.616, N-LAF2    ,3,0
LEN,LP,,312236,14.895,10,8.475, N-BAK4    ,3,0
LEN,LP,,312242,109.98,50,50.481, SILICA    ,8.5,0
LEN,LP,,312243,164.556,50,75.531, SILICA    ,6.1,0
LEN,LP,,312244,217.865,50,100, SILICA    ,5.1,0
LEN,LP,,312245,274.27,50,125.89, SILICA    ,4.4,0
LEN,LP,,312246,547.255,50,251.19, SILICA    ,4.4,0
LEN,LP,,312247,1091.91,50,501.19, SILICA    ,4.4,0
LEN,LP,,312253,87.991,40,40.388, SILICA    ,7,0
LEN,LP,,312254,153.131,40,70.287, SILICA    ,4.8,0
LEN,LP,,312255,13.845,8,6.355, SILICA    ,2.4,0
LEN,LP,,312256,16.338,10,7.499, SILICA    ,2.9,0
LEN,LP,,312257,21.786,12.5,10, SILICA    ,3.5,0
LEN,LP,,312258,27.427,12.5,12.589, SILICA    ,3,0
LEN,LP,,312259,33.791,18,15.51, SILICA    ,4.4,0
LEN,LP,,312286,42.85,22.4,19.668, SILICA    ,5,0
LEN,LP,,312289,210.166,80,96.466, SILICA    ,10,0
