TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Material,Thick,Radius 2
LEN,MG,,01LDX258,1003.7,27,1037.1,BK7,2.2,-1037.1
LEN,MG,,01LDX262,1003.7,45,1037,BK7,2.6,-1037
LEN,MG,,01LDX263,2007.4,37.8,2074.5,BK7,2.2,-2074.5
LEN,MG,,01LDX301,10,12.5,8.972,BK7,7.1,-8.972
LEN,MG,,01LDX303,12.5,12.5,11.943,BK7,5.5,-11.943
LEN,MG,,01LDX305,15,12.5,14.695,BK7,4.8,-14.695
LEN,MG,,01LDX307,20,12.5,20.042,BK7,4,-20.042
LEN,MG,,01LDX309,25,12.5,25.312,BK7,3.6,-25.312
LEN,MG,,01LDX311,30,12.5,30.548,BK7,3.3,-30.548
LEN,MG,,01LDX313,40,12.5,40.985,BK7,3,-40.985
LEN,MG,,01LDX315,50,12.5,51.395,BK7,2.8,-51.395
LEN,MG,,01LDX317,75,12.5,77.377,BK7,2.5,-77.377
LEN,MG,,01LDX319,100,12.5,103.336,BK7,2.4,-103.336
LEN,MG,,01LDX321,125,12.5,129.285,BK7,2.3,-129.285
LEN,MG,,01LDX323,175,12.5,181.173,BK7,2.2,-181.173
LEN,MG,,01LDX325,250,12.5,258.992,BK7,2.2,-258.992
LEN,MG,,01LDX327,20,25,18.487,BK7,11.8,-18.487
LEN,MG,,01LDX329,25,25,24.315,BK7,8.9,-24.315
LEN,MG,,01LDX331,37.5,25,37.81,BK7,6.2,-37.81
LEN,MG,,01LDX333,62.5,25,64.068,BK7,4.5,-64.068
LEN,MG,,01LDX335,100,25,103.139,BK7,3.5,-103.139
LEN,MG,,01LDX337,150,25,155.1,BK7,3,-155.1
LEN,MG,,01LDX339,175,25,181.061,BK7,2.9,-181.061
LEN,MG,,01LDX341,200,25,207.016,BK7,2.8,-207.016
LEN,MG,,01LDX343,250,25,258.914,BK7,2.6,-258.914
LEN,MG,,01LDX345,300,25,310.804,BK7,2.5,-310.804
LEN,MG,,01LDX347,350,25,362.688,BK7,2.4,-362.688
LEN,MG,,01LDX349,400,25,414.57,BK7,2.4,-414.57
LEN,MG,,01LDX351,500,25,518.327,BK7,2.3,-518.327
LEN,MG,,01LDX353,600,25,622.079,BK7,2.3,-622.079
LEN,MG,,01LDX355,700,25,725.829,BK7,2.2,-725.829
LEN,MG,,01LDX357,800,25,829.578,BK7,2.2,-829.578
LEN,MG,,01LDX359,1000,25,1037.073,BK7,2.2,-1037.073
LEN,MG,,01LDX361,1500,25,1555.801,BK7,2.1,-1555.801
LEN,MG,,01LDX363,2000,25,2074.526,BK7,2.1,-2074.526
LEN,MG,,01LDX365,40,50,37.277,BK7,22.2,-37.277
LEN,MG,,01LDX367,50,50,49.017,BK7,15.8,-49.017
LEN,MG,,01LDX369,75,50,75.792,BK7,11.5,-75.792
LEN,MG,,01LDX371,250,50,258.43,BK7,5.4,-258.43
LEN,MG,,01LDX373,325,50,336.336,BK7,4.9,-336.336
LEN,MG,,01LDX375,625,50,647.722,BK7,4,-647.722
LEN,MG,,01LDX377,750,50,777.43,BK7,3.8,-777.43
LEN,MG,,01LDX379,1500,50,1555.579,BK7,3.4,-1555.579
LEN,MG,,01LDX381,2000,50,2074.316,BK7,3.3,-2074.316
LEN,MG,,01LDX401,4.5,4.5,4.281,BK7,2,-4.281
LEN,MG,,01LMP001,101.87,22.5,33.72,BK7,4,90
LEN,MG,,01LMP003,98.216,45,33.72,BK7,10.3,90
LEN,MG,,01LMP005,126.66,22.5,38.47,BK7,4,90
LEN,MG,,01LMP007,123.48,45,38.47,BK7,8,90
LEN,MG,,01LMP009,151.6,22.5,42.52,BK7,4,90
LEN,MG,,01LMP011,148.5,45,42.52,BK7,7,90
LEN,MG,,01LMP015,173.08,45,46.05,BK7,7,90
LEN,MG,,01LMP017,202.51,22.5,49.03,BK7,3.5,90
LEN,MG,,01LMP019,197.72,45,49.03,BK7,6.5,90
LEN,MG,,01LMP021,250.79,22.5,83.96,BK7,3.5,235
LEN,MG,,01LMP023,250.06,45,83.96,BK7,4.8,235
LEN,MG,,01LMP025,301.03,22.5,94.08,BK7,3.5,235
LEN,MG,,01LMP027,300.1,45,94.08,BK7,4.8,235
LEN,MG,,01LMP029,351.04,22.5,102.9,BK7,3.5,235
LEN,MG,,01LMP031,350.14,45,102.9,BK7,4.5,235
LEN,MG,,01LMP033,401.26,22.5,110.72,BK7,3.5,235
LEN,MG,,01LMP035,400.17,45,110.72,BK7,4.5,235
LEN,MG,,01LMP037,501.73,22.5,123.9,BK7,3.5,235
LEN,MG,,01LMP039,500.21,45,123.9,BK7,4.5,235
LEN,MG,,01LMP041,600.5,22.5,204.95,BK7,3.5,600
LEN,MG,,01LMP045,800.71,22.5,245.39,BK7,3.5,600
LEN,MG,,01LMP049,1000.9,22.5,278.34,BK7,3.5,600
LEN,MG,,01LMP051,1000.4,45,278.34,BK7,4,600
LEN,MG,,01LMP053,1501.6,22.5,339.05,BK7,3.5,600
LEN,MG,,01LMP055,1500.6,45,339.05,BK7,4,600
LEN,MG,,01LMP057,2002.3,22.5,380.54,BK7,3.5,600
LEN,MG,,01LMP059,2000.7,45,380.54,BK7,4,600
LEN,MG,,01LMP061,4006.3999,22.5,466.12,BK7,3.5,600
LEN,MG,,01LMP063,4001.3999,45,466.12,BK7,4,600
LEN,MG,,01LMS002,1.1,1.44,1,LASFN9,2,-1
LEN,MG,,01LMS003,1.7,2.16,1.5,LASFN9,3,-1.5
LEN,MG,,01LMS005,2.8,3.6,2.5,LASFN9,5,-2.5
LEN,MG,,01LMS102,1.1,1.44,1,LASFN9,2,-1
LEN,MG,,01LMS103,1.7,2.16,1.5,LASFN9,3,-1.5
LEN,MG,,01LMS105,2.8,3.6,2.5,LASFN9,5,-2.5
LEN,MG,,01LMS202,1.1,1.44,1,LASFN9,2,-1
LEN,MG,,01LMS203,1.7,2.16,1.5,LASFN9,3,-1.5
LEN,MG,,01LMS205,2.8,3.6,2.5,LASFN9,5,-2.5
LEN,MG,,01LMS302,1.1,1.44,1,LASFN9,2,-1
LEN,MG,,01LMS303,1.7,2.16,1.5,LASFN9,3,-1.5
LEN,MG,,01LMS305,2.8,3.6,2.5,LASFN9,5,-2.5
LEN,MG,,01LMS402,1.1,1.44,1,LASFN9,2,-1
LEN,MG,,01LMS403,1.7,2.16,1.5,LASFN9,3,-1.5
LEN,MG,,01LMS405,2.8,3.6,2.5,LASFN9,5,-2.5
LEN,MG,,01LPX001,8.0302,3.6,4.15,BK7,2.5,0
LEN,MG,,01LPX003,10.037,4.5,5.187,BK7,2.6,0
LEN,MG,,01LPX005,10.037,7.2,5.187,BK7,3.9,0
LEN,MG,,01LPX007,12.69,5.67,6.558,BK7,2.8,0
LEN,MG,,01LPX008,13.048,6.75,6.743,BK7,2,0
LEN,MG,,01LPX009,15.056,7.2,7.781,BK7,3.1,0
